,car_index,fuelType,owner_id,vehicle_make,vehicle_model,vehicle_type,vehicle_year
0,C0000,ELECTRIC,12847615,Tesla,Model X,suv,2019
1,C0001,ELECTRIC,15621242,Tesla,Model X,suv,2018
2,C0002,HYBRID,10199256,Toyota,Prius,car,2012
3,C0003,GASOLINE,9365496,Ford,Mustang,car,2018
4,C0004,GASOLINE,3553565,Chrysler,Sebring,car,2010
5,C0005,GASOLINE,7815747,Mercedes-Benz,GL-Class,suv,2012
6,C0006,GASOLINE,3112016,GMC,Yukon XL,suv,2005
7,C0007,GASOLINE,9536762,Ford,Expedition,suv,2018
8,C0008,GASOLINE,14893743,Ford,Focus RS,car,2016
9,C0009,GASOLINE,11389136,Ford,EcoSport,suv,2018
10,C0010,GASOLINE,9365496,Ford,F-150,truck,2012
11,C0011,HYBRID,10199256,Toyota,Prius,car,2012
12,C0012,GASOLINE,9346980,Volkswagen,Tiguan,suv,2018
13,C0013,HYBRID,3070318,Toyota,Avalon Hybrid,car,2013
14,C0014,GASOLINE,3092621,Saab,3-Sep,car,2011
15,C0015,GASOLINE,14428787,Ram,CV Tradesman,minivan,2014
16,C0016,GASOLINE,1889102,Jeep,Cherokee,suv,2018
17,C0017,GASOLINE,3092621,Porsche,Cayman,car,2007
18,C0018,GASOLINE,4112693,Jeep,Wrangler JK,suv,2018
19,C0019,GASOLINE,1603416,Ford,Mustang,car,2019
20,C0020,GASOLINE,8860306,Ford,Explorer,suv,2012
21,C0021,GASOLINE,911080,Nissan,Rogue,suv,2016
22,C0022,ELECTRIC,1269071,Tesla,Model S,car,2015
23,C0023,GASOLINE,6744409,Dodge,Charger,car,2014
24,C0024,GASOLINE,1603416,Volkswagen,Jetta,car,2019
25,C0025,GASOLINE,6744409,Hyundai,Sonata,car,2016
26,C0026,GASOLINE,293620,Chevrolet,Impala,car,2010
27,C0027,GASOLINE,2565503,Hyundai,Accent,car,2015
28,C0028,GASOLINE,2565503,Ford,Focus,car,2010
29,C0029,GASOLINE,14680097,GMC,Yukon XL,suv,2018
30,C0030,GASOLINE,7697716,Toyota,Sequoia,suv,2016
31,C0031,GASOLINE,11515981,Mercedes-Benz,GLC-Class,suv,2016
32,C0032,,11515981,Ford,Fiesta,car,2019
33,C0033,GASOLINE,14931796,Dodge,Journey,suv,2019
34,C0034,HYBRID,9709583,Lexus,ES 300h,car,2015
35,C0035,GASOLINE,15162374,Cadillac,ATS,car,2015
36,C0036,GASOLINE,2842845,Lexus,IS 350,car,2015
37,C0037,GASOLINE,7697843,smart,fortwo,car,2010
38,C0038,GASOLINE,6025007,Land Rover,Range Rover,suv,2016
39,C0039,ELECTRIC,53029,Tesla,Model 3,car,2020
40,C0040,GASOLINE,7868475,Porsche,718 Boxster,car,2017
41,C0041,GASOLINE,1295660,Mercedes-Benz,S-Class,car,2015
42,C0042,GASOLINE,12796797,BMW,7 Series,car,2018
43,C0043,GASOLINE,53029,Mercedes-benz,C-Class,car,2019
44,C0044,GASOLINE,14752326,BMW,4 Series,car,2018
45,C0045,GASOLINE,511103,Porsche,Panamera,car,2011
46,C0046,GASOLINE,53029,Mercedes-Benz,GLA-Class,suv,2017
47,C0047,GASOLINE,7697843,Volkswagen,Jetta,car,2016
48,C0048,GASOLINE,11311856,Acura,MDX,suv,2014
49,C0049,ELECTRIC,2253859,Tesla,Model 3,car,2018
50,C0050,GASOLINE,511103,Chevrolet,Corvette Stingray,car,2014
51,C0051,GASOLINE,7982582,Audi,A8,car,2015
52,C0052,GASOLINE,6025007,Nissan,Altima,car,2018
53,C0053,GASOLINE,6025007,Audi,A7,car,2017
54,C0054,GASOLINE,8752492,Audi,RS 7,car,2014
55,C0055,GASOLINE,7952644,Dodge,Grand Caravan,minivan,2015
56,C0056,GASOLINE,8752492,Jaguar,XJ,car,2016
57,C0057,ELECTRIC,8609349,Tesla,Model S,car,2018
58,C0058,GASOLINE,3983888,Mercedes-Benz,C-Class,car,2015
59,C0059,GASOLINE,511103,Chevrolet,Corvette,car,2017
60,C0060,GASOLINE,499566,Mercedes-Benz,S-Class,car,2016
61,C0061,GASOLINE,5878338,Chevrolet,Camaro,car,2017
62,C0062,GASOLINE,499566,Land Rover,Range Rover Sport,suv,2014
63,C0063,GASOLINE,10872556,Maserati,Quattroporte,car,2016
64,C0064,GASOLINE,3983888,INFINITI,Q50,car,2018
65,C0065,GASOLINE,10413163,Chevrolet,Corvette,car,2015
66,C0066,GASOLINE,11258220,Porsche,Boxster,car,2014
67,C0067,ELECTRIC,1661563,Tesla,Model 3,car,2019
68,C0068,DIESEL,7868475,Porsche,Cayenne,suv,2014
69,C0069,GASOLINE,511103,Ford,Mustang,car,2019
70,C0070,GASOLINE,8752492,Land Rover,Range Rover Sport,suv,2016
71,C0071,GASOLINE,3983888,Infiniti,EX35,suv,2008
72,C0072,GASOLINE,7697843,INFINITI,Q50,car,2018
73,C0073,GASOLINE,7868475,Mercedes-Benz,E-Class,car,2016
74,C0074,GASOLINE,7697843,Mazda,CX-5,suv,2018
75,C0075,GASOLINE,7697843,smart,fortwo,car,2015
76,C0076,GASOLINE,15117491,BMW,Z4,car,2008
77,C0077,GASOLINE,511103,Chevrolet,Camaro,car,2018
78,C0078,GASOLINE,2052844,Land Rover,Range Rover Evoque,suv,2015
79,C0079,GASOLINE,5513653,BMW,X4,suv,2018
80,C0080,GASOLINE,7868475,Infiniti,QX60,suv,2015
81,C0081,ELECTRIC,3991249,Tesla,Model 3,car,2020
82,C0082,GASOLINE,499566,BMW,6 Series Gran Coupe,car,2013
83,C0083,GASOLINE,1077705,BMW,M4,car,2015
84,C0084,GASOLINE,10851739,Mercedes-Benz,C-Class,car,2016
85,C0085,ELECTRIC,1439133,Tesla,Model X,suv,2018
86,C0086,GASOLINE,6077494,Maserati,Ghibli,car,2015
87,C0087,GASOLINE,10696094,Mercedes-Benz,GLA-Class,suv,2015
88,C0088,GASOLINE,7678058,Maserati,Ghibli,car,2015
89,C0089,GASOLINE,12796797,Chevrolet,Camaro,car,2019
90,C0090,GASOLINE,6580855,Mercedes-Benz,C-Class,car,2016
91,C0091,GASOLINE,9971230,BMW,M4,car,2016
92,C0092,ELECTRIC,4266637,Tesla,Model 3,car,2018
93,C0093,GASOLINE,11968412,BMW,5 Series,car,2011
94,C0094,ELECTRIC,4887223,Tesla,Model X,suv,2016
95,C0095,GASOLINE,1428350,BMW,i8,car,2015
96,C0096,GASOLINE,1295660,Mercedes-Benz,E-Class,car,2017
97,C0097,GASOLINE,9451897,Land Rover,Range Rover Sport,suv,2018
98,C0098,GASOLINE,1879749,Chevrolet,Corvette,car,2016
99,C0099,GASOLINE,8444510,Ford,Fiesta,car,2017
100,C0100,GASOLINE,1103338,Mercedes-Benz,AMG GT,car,2016
101,C0101,GASOLINE,499566,Volkswagen,Arteon,car,2019
102,C0102,GASOLINE,6580855,Ford,Fiesta,car,2015
103,C0103,GASOLINE,10413163,Maserati,Ghibli,car,2015
104,C0104,GASOLINE,12796797,BMW,X6,suv,2018
105,C0105,GASOLINE,11312622,Mercedes-Benz,SLK-Class,car,2013
106,C0106,ELECTRIC,1523445,Tesla,Model 3,car,2020
107,C0107,GASOLINE,15406472,Land Rover,Range Rover Velar,suv,2019
108,C0108,GASOLINE,464263,Bentley,Continental GT,car,2005
109,C0109,GASOLINE,1846481,Porsche,Panamera,car,2018
110,C0110,ELECTRIC,2312511,Tesla,Model X,suv,2016
111,C0111,HYBRID,11258220,Porsche,Cayenne,suv,2017
112,C0112,GASOLINE,735348,Porsche,718 Cayman,car,2017
113,C0113,ELECTRIC,11216559,Tesla,Model 3,car,2019
114,C0114,GASOLINE,511103,Porsche,Cayenne,suv,2011
115,C0115,GASOLINE,15256714,Jaguar,F-TYPE,car,2016
116,C0116,GASOLINE,8444510,Ford,Fiesta,car,2017
117,C0117,GASOLINE,511103,Chevrolet,Camaro,car,2016
118,C0118,GASOLINE,11258220,Audi,TTS,car,2017
119,C0119,GASOLINE,1140700,BMW,X4,suv,2017
120,C0120,GASOLINE,511103,Dodge,Charger,car,2017
121,C0121,GASOLINE,1278682,Mercedes-Benz,C-Class,car,2016
122,C0122,GASOLINE,15071013,GMC,Yukon,suv,2019
123,C0123,ELECTRIC,9326905,Tesla,Model 3,car,2019
124,C0124,GASOLINE,3792936,Chevrolet,Suburban,suv,2011
125,C0125,GASOLINE,10250575,Toyota,Corolla,car,2020
126,C0126,GASOLINE,12096465,Porsche,Boxster,car,2015
127,C0127,ELECTRIC,6514411,Tesla,Model 3,car,2019
