,car_index,location_country,location_state,location_city,location_latitude,location_longitude
0,C0000,US,WA,Seattle,47.449107,-122.308841
1,C0001,US,NM,Tijeras,35.11106,-106.276551
2,C0002,US,NM,Albuquerque,35.127163,-106.566681
3,C0003,US,NM,Albuquerque,35.149726,-106.711425
4,C0004,US,NM,Albuquerque,35.208659,-106.601008
5,C0005,US,NM,Albuquerque,35.068834,-106.576111
6,C0006,US,NM,Albuquerque,35.045552,-106.633815
7,C0007,US,NM,Albuquerque,35.186542,-106.686481
8,C0008,US,NM,Albuquerque,35.061213,-106.629406
9,C0009,US,NM,Albuquerque,35.115363,-106.556911
10,C0010,US,NM,Albuquerque,35.148891,-106.71102
11,C0011,US,NM,Albuquerque,35.121564,-106.598445
12,C0012,US,NM,Albuquerque,35.078547,-106.497368
13,C0013,US,NM,Albuquerque,35.186381,-106.727808
14,C0014,US,NM,Albuquerque,35.161777,-106.535379
15,C0015,US,NM,Albuquerque,35.108365,-106.598589
16,C0016,US,NM,Albuquerque,35.115653,-106.578805
17,C0017,US,NM,Albuquerque,35.161964,-106.535441
18,C0018,US,NM,Albuquerque,35.049006,-106.617357
19,C0019,US,NM,Santa Fe,35.597391,-106.040869
20,C0020,US,NM,Albuquerque,35.190108,-106.747581
21,C0021,US,NM,Albuquerque,35.153704,-106.67937
22,C0022,US,NM,Albuquerque,35.213677,-106.724059
23,C0023,US,NM,Santa Fe,35.648967,-106.046019
24,C0024,US,NM,Santa Fe,35.597415,-106.042253
25,C0025,US,NM,Santa Fe,35.648514,-106.045212
26,C0026,US,NM,Rio Rancho,35.223908,-106.675636
27,C0027,US,NM,Albuquerque,35.163908,-106.577477
28,C0028,US,NM,Albuquerque,35.164391,-106.577068
29,C0029,US,GA,Grovetown,33.50852,-82.236315
30,C0030,US,GA,Evans,33.534464,-82.120888
31,C0031,US,GA,Augusta,33.367664,-81.966226
32,C0032,US,GA,Augusta,33.368491,-81.96643
33,C0033,US,GA,Augusta,33.483601,-82.110307
34,C0034,US,GA,Evans,33.545897,-82.197674
35,C0035,US,GA,Augusta,33.513423,-82.027434
36,C0036,US,SC,Beech Island,33.501183,-81.907672
37,C0037,US,GA,East Point,33.653209,-84.492165
38,C0038,US,GA,Atlanta,33.640717,-84.42758
39,C0039,US,GA,Doraville,33.903748,-84.280355
40,C0040,US,GA,East Point,33.653768,-84.492429
41,C0041,US,GA,Grayson,33.906905,-83.960234
42,C0042,US,GA,Atlanta,33.891295,-84.453929
43,C0043,US,GA,Atlanta,33.903877,-84.277873
44,C0044,US,FL,Tampa,28.082946,-82.542147
45,C0045,US,GA,Atlanta,33.927403,-84.342767
46,C0046,US,GA,Doraville,33.887491,-84.309188
47,C0047,US,GA,East Point,33.652468,-84.492432
48,C0048,US,GA,Fairburn,33.53956,-84.577374
49,C0049,US,GA,Atlanta,33.746442,-84.372238
50,C0050,US,GA,Atlanta,33.927684,-84.343055
51,C0051,US,GA,Atlanta,33.763413,-84.388602
52,C0052,US,GA,College Park,33.640695,-84.44519
53,C0053,US,GA,Atlanta,33.640655,-84.427646
54,C0054,US,GA,Atlanta,33.740676,-84.358236
55,C0055,US,GA,Lawrenceville,33.989753,-84.001209
56,C0056,US,GA,Atlanta,33.74053,-84.357869
57,C0057,US,GA,Duluth,33.970512,-84.161462
58,C0058,US,GA,Douglasville,33.722786,-84.703698
59,C0059,US,GA,Atlanta,33.927109,-84.343284
60,C0060,US,GA,Atlanta,33.757344,-84.348425
61,C0061,US,GA,Atlanta,33.640694,-84.444701
62,C0062,US,GA,Atlanta,33.757548,-84.349273
63,C0063,US,GA,Atlanta,33.850713,-84.36596
64,C0064,US,GA,Douglasville,33.7233,-84.703291
65,C0065,US,GA,Atlanta,33.668327,-84.417836
66,C0066,US,GA,Snellville,33.807278,-84.045917
67,C0067,US,GA,Decatur,33.709589,-84.266785
68,C0068,US,GA,East Point,33.653333,-84.492314
69,C0069,US,GA,Atlanta,33.927666,-84.34306
70,C0070,US,GA,Atlanta,33.782872,-84.384256
71,C0071,US,GA,Douglasville,33.723699,-84.702829
72,C0072,US,GA,East Point,33.653788,-84.491291
73,C0073,US,GA,East Point,33.653412,-84.492217
74,C0074,US,GA,East Point,33.652998,-84.490885
75,C0075,US,GA,East Point,33.652323,-84.491513
76,C0076,US,GA,Decatur,33.75397,-84.234782
77,C0077,US,GA,Atlanta,33.926688,-84.343004
78,C0078,US,GA,Atlanta,33.810233,-84.45316
79,C0079,US,GA,Atlanta,33.852298,-84.367605
80,C0080,US,GA,East Point,33.653553,-84.492182
81,C0081,US,GA,Atlanta,33.765511,-84.387509
82,C0082,US,GA,Atlanta,33.875355,-84.461555
83,C0083,US,GA,Atlanta,33.764041,-84.334534
84,C0084,US,GA,Alpharetta,34.110042,-84.228422
85,C0085,US,GA,East Point,33.702353,-84.443573
