,car_index,rating,renterTripsTaken,reviewCount,rate_daily
0,C0000,5.0,13,12,135
1,C0001,5.0,2,1,190
2,C0002,4.92,28,24,35
3,C0003,5.0,21,20,75
4,C0004,5.0,3,1,47
5,C0005,5.0,13,12,58
6,C0006,4.42,13,12,42
7,C0007,4.9,12,10,117
8,C0008,5.0,1,1,102
9,C0009,4.76,22,17,49
10,C0010,4.95,23,22,75
11,C0011,4.7,11,10,35
12,C0012,5.0,11,7,88
13,C0013,4.92,51,38,42
14,C0014,4.88,61,56,42
15,C0015,4.5,2,2,65
16,C0016,,0,0,42
17,C0017,5.0,23,20,116
18,C0018,4.67,5,3,119
19,C0019,5.0,24,19,80
20,C0020,4.5,4,2,97
21,C0021,4.92,70,52,41
22,C0022,5.0,3,1,171
23,C0023,4.72,20,18,50
24,C0024,4.85,61,46,49
25,C0025,4.82,18,11,39
26,C0026,4.8,63,54,28
27,C0027,5.0,21,19,32
28,C0028,5.0,21,20,28
29,C0029,,0,0,125
30,C0030,5.0,3,3,112
31,C0031,5.0,21,19,87
32,C0032,5.0,9,8,47
33,C0033,5.0,9,8,42
34,C0034,5.0,5,3,130
35,C0035,5.0,1,1,115
36,C0036,4.5,3,2,85
37,C0037,4.58,27,19,24
38,C0038,5.0,52,44,144
39,C0039,4.83,8,6,146
40,C0040,4.94,34,33,125
41,C0041,5.0,12,10,175
42,C0042,5.0,2,2,200
43,C0043,4.93,18,14,98
44,C0044,,0,0,96
45,C0045,4.89,94,80,150
46,C0046,4.85,134,110,99
47,C0047,4.87,40,30,42
48,C0048,4.89,40,35,48
49,C0049,5.0,15,11,134
50,C0050,4.96,152,140,155
51,C0051,4.97,37,35,130
52,C0052,4.99,81,73,58
53,C0053,4.96,60,51,112
54,C0054,5.0,23,21,209
55,C0055,5.0,41,36,49
56,C0056,5.0,29,27,129
57,C0057,4.88,18,16,159
58,C0058,4.95,42,40,84
59,C0059,5.0,42,38,175
60,C0060,4.83,9,6,189
61,C0061,4.92,40,38,130
62,C0062,4.88,88,74,150
63,C0063,5.0,1,1,125
64,C0064,4.84,38,32,76
65,C0065,4.92,76,71,147
66,C0066,5.0,5,5,160
67,C0067,4.85,35,27,175
68,C0068,4.97,32,29,89
69,C0069,4.98,72,59,116
70,C0070,5.0,17,11,136
71,C0071,4.82,56,50,56
72,C0072,4.93,22,15,64
73,C0073,4.95,69,66,90
74,C0074,4.9,61,50,55
75,C0075,4.84,71,58,29
76,C0076,5.0,17,16,78
77,C0077,4.89,9,9,102
78,C0078,4.93,19,15,85
79,C0079,5.0,2,2,98
80,C0080,5.0,45,40,90
81,C0081,5.0,21,19,150
82,C0082,4.98,54,44,149
